Binomial (reptile database),name in Tonini et al. 2016,mode of reproduction,brood size (# of hatchling or neonates),log female mass (g),log hatchling mass (g),RI (%),mean annual temperature (ºC),temperature seasonality
Ctenophorus fordi,Ctenophorus_fordi,Oviparous,2.3,0.64,-0.37,22%,18.74,5572.9
Ctenophorus isolepis,Ctenophorus_isolepis,Oviparous,3.7,0.79,-0.32,29%,23.06,5475.3
Ctenophorus maculatus,Ctenophorus_maculatus,Oviparous,3,0.70,-0.19,38%,18.74,4648.5
Ctenophorus maculosus,Ctenophorus_maculosus,Oviparous,3.21,0.82,-0.22,30%,20.24,6297.9
Ctenophorus nuchalis,Ctenophorus_nuchalis,Oviparous,3.67,1.27,0.07,23%,22.71,5549.8
Ctenophorus ornatus,Ctenophorus_ornatus,Oviparous,3.125,1.22,0.11,24%,17.51,4908.1
Ctenophorus parviceps,Ctenophorus_parviceps,Oviparous,2.1,0.43,-0.46,27%,22.83,3999.4
Ctenophorus pictus,Ctenophorus_pictus,Oviparous,3.2,0.78,-0.02,51%,19.16,5644.9
Ctenophorus reticulatus,Ctenophorus_reticulatus,Oviparous,4.3,1.08,-0.46,13%,21.1,5755.5
Ctenophorus scutulatus,Ctenophorus_scutulatus,Oviparous,5.165,1.33,-0.15,17%,20.36,5683.5
Ctenophorus vadnappa,Ctenophorus_vadnappa,Oviparous,5,0.97,-0.25,30%,18.92,6027.4
Ctenosaura clarki,Ctenosaura_clarki,Oviparous,7,2.03,0.64,29%,26.55,1279.1
Ctenosaura flavidorsalis,Ctenosaura_flavidorsalis,Oviparous,9.5,1.95,0.46,31%,23.5,833.7
Ctenosaura macrolopha,Ctenosaura_macrolopha,Oviparous,10.5,2.19,0.87,51%,21.79,4921.8
Ctenosaura melanosterna,Ctenosaura_melanosterna,Oviparous,17,2.55,0.75,27%,23.76,1412.2
Ctenosaura oedirhina,Ctenosaura_oedirhina,Oviparous,8,2.55,0.99,22%,26.35,1134
Ctenosaura pectinata,Ctenosaura_pectinata,Oviparous,27.5,2.97,0.91,24%,21.18,1947.8
Ctenosaura similis,Ctenosaura_similis,Oviparous,32.7,3.09,0.84,19%,24.15,1168.4
Ctenotus ariadnae,Ctenotus_ariadnae,Oviparous,3.415,0.71,-0.40,26%,22.44,6237.1
Ctenotus brooksi,Ctenotus_brooksi,Oviparous,2.165,0.25,-0.86,17%,21.04,5956.9
Ctenotus calurus,Ctenotus_calurus,Oviparous,2.27,0.27,-0.61,30%,22.93,5807.7
Ctenotus dux,Ctenotus_dux,Oviparous,2.675,0.76,-0.40,18%,21.89,6154.3
Ctenotus grandis,Ctenotus_grandis,Oviparous,4,1.33,-0.22,11%,23.69,5606.9
Ctenotus hanloni,Ctenotus_hanloni,Oviparous,3.6,0.86,-0.22,30%,23.04,5980
Ctenotus labillardieri,Ctenotus_labillardieri,Oviparous,3.55,0.79,-0.42,22%,16.15,3457.2
Ctenotus lancelini,Ctenotus_lancelini,Oviparous,3.33,1.00,-0.32,16%,18.23,3721
Ctenotus leonhardii,Ctenotus_leonhardii,Oviparous,3.8,0.86,-0.40,21%,22.27,5837.9
Ctenotus mimetes,Ctenotus_mimetes,Oviparous,6,1.02,-0.22,34%,20.53,5810.7
Ctenotus nasutus,Ctenotus_nasutus,Oviparous,2.905,0.19,-0.76,33%,22.11,6254.8
Ctenotus pantherinus,Ctenotus_pantherinus,Oviparous,5.1,1.03,-0.26,26%,22.96,5323.2
Ctenotus piankai,Ctenotus_piankai,Oviparous,2.75,0.43,-0.56,29%,22.98,5858.3
Ctenotus quattuordecimlineatus,Ctenotus_quattuordecimlineatus,Oviparous,3.3,0.64,-0.38,31%,23.49,5956.6
Ctenotus regius,Ctenotus_regius,Oviparous,2.5,0.62,-0.40,24%,20.08,6088.1
Ctenotus robustus,Ctenotus_robustus,Oviparous,5,1.31,-0.10,19%,20.49,4263.1
Ctenotus schomburgkii,Ctenotus_schomburgkii,Oviparous,2.48,0.17,-0.82,25%,21.17,5759.1
Ctenotus taeniolatus,Ctenotus_taeniolatus,Oviparous,3.8,0.82,-0.36,26%,18.98,4389.7
Cyclura carinata,Cyclura_carinata,Oviparous,4.3,2.71,1.35,19%,26,1494.8
Cyclura collei,Cyclura_collei,Oviparous,17.15,3.40,1.52,22%,26.1,988.3
Cyclura cornuta,Cyclura_cornuta,Oviparous,14.7,3.65,1.69,16%,24.07,1324.5
