Binomial (reptile database),name in Tonini et al. 2016,mode of reproduction,brood size (# of hatchling or neonates),log female mass (g),log hatchling mass (g),RI (%),mean annual temperature (ºC),temperature seasonality
Helicops infrataeniatus,Helicops_infrataeniatus,Viviparous,18,1.88,0.23,40%,20.85,278.1631
Helicops leopardinus,Helicops_leopardinus,Viviparous,7.5,1.39,0.17,45%,21.97,143.011
Hemiaspis damelii,Hemiaspis_damelii,Viviparous,10.3,1.61,0.37,59%,18.93,506.8961
Hemiaspis signata,Hemiaspis_signata,Viviparous,7,1.45,0.26,45%,19.32,368.7062
Hemicordylus capensis,Hemicordylus_capensis,Viviparous,2.25,1.37,0.18,15%,15.84,4298.5
Hemiergis gracilipes,Hemiergis_gracilipes,Viviparous,3.2,0.85,-0.14,33%,15.67,3372
Hemiergis initialis,Hemiergis_initialis,Viviparous,1.9,-0.21,-1.08,26%,16.62,3836.9
Hemiergis peronii,Hemiergis_peronii,Viviparous,2.68,0.23,-0.71,31%,16.8,4127.8
Hemiergis quadrilineata,Hemiergis_quadrilineata,Viviparous,4,0.16,-0.75,49%,17.31,3545.3
Heremites auratus,Trachylepis_aurata,Viviparous,5,1.13,-0.31,18%,14.68,7537.4
Heremites vittatus,Trachylepis_vittata,Viviparous,4.85,0.86,-0.56,19%,14.66,7606.6
Homalopsis buccata,Homalopsis_buccata,Viviparous,9.26,2.44,0.71,18%,25,37.44583
Hoplocephalus bitorquatus,Hoplocephalus_bitorquatus,Viviparous,4.7,1.79,0.75,43%,19.14,407.9486
Hoplocephalus bungaroides,Hoplocephalus_bungaroides,Viviparous,6,1.94,0.75,39%,15.28,403.8811
Hoplocephalus stephensii,Hoplocephalus_stephensii,Viviparous,5.7,2.12,0.75,24%,16.48,396.993
Isopachys gyldenstolpei,Isopachys_gyldenstolpei,Viviparous,5,0.95,0.15,80%,26.43,1190.1
Karusasaurus jordani,Karusasaurus_jordani,Viviparous,2.3,1.70,0.19,7%,19.17,4324.2
Lepidophyma flavimaculatum,Lepidophyma_flavimaculatum,Viviparous,5,1.18,-0.13,24%,24.43,1203.4
Lepidophyma smithii,Lepidophyma_smithii,Viviparous,8,1.24,-0.39,19%,24.85,872.5
Lepidophyma sylvaticum,Lepidophyma_sylvaticum,Viviparous,5.6,0.94,-0.41,25%,19.76,3029.2
Lerista arenicola,Lerista_arenicola,Viviparous,3,0.47,-0.56,29%,17.03,3250.4
Lerista microtis,Lerista_microtis,Viviparous,2.3,0.38,-0.92,11%,15.94,3211.3
Lerista vittata,Lerista_vittata,Viviparous,2.6,0.31,-0.30,63%,23.01,3540.9
Liodytes pygaea,Seminatrix_pygaea,Viviparous,7.9,1.42,-0.35,13%,19.52,536.8967
Liodytes rigida,Liodytes_rigida,Viviparous,10,1.97,0.06,12%,18.31,648.4692
Liolaemus andinus,Liolaemus_andinus,Viviparous,5.8,1.31,-0.20,18%,6.04,3441.8
Liolaemus audituvelatus,Liolaemus_audituvelatus,Viviparous,2.5,0.58,-0.15,47%,10.55,2982
Liolaemus cyanogaster,Liolaemus_cyanogaster,Viviparous,7.5,0.82,-0.38,47%,9.26,4067.3
Liolaemus dorbignyi,Liolaemus_dorbignyi,Viviparous,4.5,1.09,0.06,42%,9.23,3794.4
Liolaemus elongatus,Liolaemus_elongatus,Viviparous,3.9,1.14,-0.17,19%,9.02,5455.1
Liolaemus kriegi,Liolaemus_kriegi,Viviparous,4,1.51,0.14,17%,8.6,5199.6
Liolaemus leopardinus,Liolaemus_leopardinus,Viviparous,3,1.33,0.30,28%,7.7,5882.3
Liolaemus lineomaculatus,Liolaemus_lineomaculatus,Viviparous,3.555,0.72,-0.35,30%,7.76,4631.6
Liolaemus magellanicus,Liolaemus_magellanicus,Viviparous,4,0.81,-0.40,25%,5.26,3578.9
Liolaemus patriciaiturrae,Liolaemus_patriciaiturrae,Viviparous,3.5,1.28,-0.06,16%,5.7,3675.8
Liolaemus pictus,Liolaemus_pictus,Viviparous,3.95,0.83,-0.22,35%,9.28,3832
Liolaemus ruibali,Liolaemus_ruibali,Viviparous,3.87,0.76,-0.72,13%,5.42,5725.5
Liolaemus scolaroi,Liolaemus_scolaroi,Viviparous,3,0.87,-0.15,28%,4.02,3903.4
Liolaemus signifer,Liolaemus_signifer,Viviparous,6.1,1.36,-0.20,17%,8.37,2524
Liolaemus vallecurensis,Liolaemus_vallecurensis,Viviparous,4,0.77,0.11,87%,8.56,5317.9
Liolaemus zullyae,Liolaemus_zullyae,Viviparous,2.5,0.94,-0.19,18%,5.12,3990.2
Liopholis inornata,Liopholis_inornata,Viviparous,2.5,0.90,-0.20,20%,20.59,5897.7
Liopholis kintorei,Liopholis_kintorei,Viviparous,6,2.21,0.94,32%,23.25,5602.4
Liopholis modesta,Liopholis_modesta,Viviparous,2.7,1.35,0.12,16%,17.2,4822.8
Liopholis multiscutata,Liopholis_multiscutata,Viviparous,2,1.05,-0.18,12%,16.79,4241.4
Liopholis striata,Liopholis_striata,Viviparous,2.65,1.21,0.08,20%,22.81,5774.6
Liopholis whitii,Liopholis_whitii,Viviparous,2.9,1.15,-0.01,20%,15.09,4289.4
Lipinia noctua,Lipinia_noctua,Viviparous,1.75,0.10,-0.92,17%,25.23,364.3
Lissolepis coventryi,Lissolepis_coventryi,Viviparous,2.75,1.34,-0.08,10%,13.07,3768.5
Lobulia alpina,Lobulia_alpina,Viviparous,2.6,0.71,-0.56,14%,16.88,376.1
Lobulia elegans,Lobulia_elegans,Viviparous,3,0.54,-0.50,27%,19.19,343
Lobulia stellaris,Lobulia_stellaris,Viviparous,2.1,0.59,-0.50,17%,17.73,367.5
Mabuya dominicana,Mabuya_dominicana,Viviparous,3.15,1.15,-0.38,9%,23.96,908.6
Marisora unimarginata,Marisora_unimarginata,Viviparous,4.665,0.76,-0.36,36%,24.01,1244.1
Marmorosphax tricolor,Marmorosphax_tricolor,Viviparous,3,0.51,-0.70,18%,21.85,2079.2
Melanoseps emmrichi,Melanoseps_emmrichi,Viviparous,3,1.12,-0.08,19%,22.42,1298.2
Melanoseps loveridgei,Melanoseps_loveridgei,Viviparous,4.25,0.61,-0.43,39%,22.91,1429.7
Mesaspis gadovii,Mesaspis_gadovii,Viviparous,7.25,0.92,-0.69,17%,18.87,1233.3
Mesaspis juarezi,Mesaspis_juarezi,Viviparous,3,0.66,-0.90,8%,16.91,1764.4
Mesaspis monticola,Mesaspis_monticola,Viviparous,4.39,0.75,-0.90,10%,21.26,461
Mesaspis moreletii,Mesaspis_moreletii,Viviparous,6,0.86,-0.60,21%,21.64,1132.2
Mochlus vinciguerrae,Mochlus_vinciguerrae,Viviparous,3,0.41,-0.92,14%,25.22,1087.2
Monopeltis anchietae,Monopeltis_anchietae,Viviparous,2.4,0.98,-0.82,4%,21.22,3312.3
Myron richardsonii,Myron_richardsonii,Viviparous,6,1.51,-0.39,8%,27.18,169.3892
Nerodia cyclopion,Nerodia_cyclopion,Viviparous,18,2.25,0.31,21%,17.98,690.1264
Nerodia erythrogaster,Nerodia_erythrogaster,Viviparous,17.8,2.50,0.47,17%,16.62,746.3425
Nerodia fasciata,Nerodia_fasciata,Viviparous,22.8,2.06,0.29,39%,18.36,651.8782
Nerodia floridana,Nerodia_floridana,Viviparous,47,2.18,0.45,87%,20.63,494.7014
Nerodia paucimaculata,Nerodia_paucimaculata,Viviparous,11.1,1.94,0.46,37%,17.88,744.9476
Nerodia rhombifer,Nerodia_rhombifer,Viviparous,26.8,2.48,0.51,29%,17.69,721.8135
Nerodia sipedon,Nerodia_sipedon,Viviparous,27.2,2.34,0.27,23%,10.58,889.2144
Nerodia taxispilota,Nerodia_taxispilota,Viviparous,28,2.36,0.59,48%,18.15,604.1042
Notechis scutatus,Notechis_scutatus,Viviparous,19.1,2.41,0.37,18%,14.24,433.8006
Notomabuya frenata,Notomabuya_frenata,Viviparous,4.3,0.89,-0.40,22%,22.8,2119.7
Oligosoma grande,Oligosoma_grande,Viviparous,2.125,1.24,-0.02,12%,7.97,3799.2
Oligosoma inconspicuum,Oligosoma_inconspicuum,Viviparous,3,0.60,-0.67,16%,7.92,3390.5
Oligosoma lineoocellatum,Oligosoma_lineoocellatum,Viviparous,4,1.11,0.25,54%,9.46,3414.9
Oligosoma maccanni,Oligosoma_maccanni,Viviparous,3.25,0.58,-0.55,24%,8.42,3536.6
Oligosoma notosaurus,Oligosoma_notosaurus,Viviparous,2.5,0.79,-0.61,10%,8.66,1756.3
Oligosoma oliveri,Oligosoma_oliveri,Viviparous,3.3,1.04,0.06,35%,14.55,2733
Oligosoma otagense,Oligosoma_otagense,Viviparous,2.17,1.52,0.15,9%,7.89,3804.6
Oligosoma polychroma,Oligosoma_polychroma,Viviparous,4.8,0.60,-0.31,59%,9.94,3270.2
Oligosoma smithi,Oligosoma_smithi,Viviparous,2.6,0.64,-0.45,21%,14.09,2849.3
Oligosoma whitakeri,Oligosoma_whitakeri,Viviparous,2,1.17,0.30,27%,13.22,2809.3
Oligosoma zelandicum,Oligosoma_zelandicum,Viviparous,5.145,0.51,-0.56,44%,11.82,2919.5
Ophiodes fragilis,Ophiodes_fragilis,Viviparous,5.55,1.44,-0.12,15%,20.56,2636.5
Ophiodes striatus,Ophiodes_striatus,Viviparous,7.3,1.38,-0.10,25%,21.05,2282.8
Parasuta dwyeri,Parasuta_dwyeri,Viviparous,3.2,1.13,0.27,44%,16.72,539.5845
Parasuta flagellum,Parasuta_flagellum,Viviparous,3.6,1.07,0.12,40%,12.97,430.5987
Parasuta gouldii,Parasuta_gouldii,Viviparous,3.6,1.20,0.15,32%,17.34,474.9677
Parasuta monachus,Parasuta_monachus,Viviparous,3.1,1.13,0.25,41%,20.28,591.2814
Parasuta nigriceps,Parasuta_nigriceps,Viviparous,3.7,1.26,0.29,40%,16.42,430.2327
Parasuta spectabilis,Parasuta_spectabilis,Viviparous,3,1.05,0.37,63%,17.27,529.3076
Phrynocephalus forsythii,Phrynocephalus_forsythii,Viviparous,4.8,0.62,-0.24,67%,9.37,11548.7
Phrynocephalus theobaldi,Phrynocephalus_theobaldi,Viviparous,2.2,0.64,-0.33,24%,-2.53,7578
Phrynocephalus vlangalii,Phrynocephalus_vlangalii,Viviparous,3.36,0.82,-0.38,21%,2.2,10128.4
Phrynosoma ditmarsi,Phrynosoma_ditmarsi,Viviparous,7.5,1.10,-0.09,47%,20.16,6039.4
Phrynosoma douglasii,Phrynosoma_douglasii,Viviparous,15,1.11,-0.44,42%,8.77,7738.4
Phrynosoma hernandesi,Phrynosoma_hernandesi,Viviparous,18,1.19,-0.07,99%,9.81,8453.2
Phrynosoma orbiculare,Phrynosoma_orbiculare,Viviparous,12.65,1.11,-0.04,90%,16.66,3446.7
Phymaturus aguedae,Phymaturus_aguedae,Viviparous,4,1.49,0.34,28%,9.6,5870
Phymaturus palluma,Phymaturus_palluma,Viviparous,2.75,1.52,0.44,23%,6.8,5528.5
Phymaturus spectabilis,Phymaturus_spectabilis,Viviparous,2,1.43,0.47,22%,8.1,5368.7
Phymaturus zapalensis,Phymaturus_zapalensis,Viviparous,1,1.41,0.53,13%,8.89,5123.8
Plestiodon bilineatus,Plestiodon_bilineatus,Viviparous,4.5,0.63,-0.59,27%,14.56,3926.2
Plestiodon copei,Plestiodon_copei,Viviparous,3.62,0.78,-0.63,14%,14.11,1713.3
Plestiodon lynxe,Plestiodon_lynxe,Viviparous,4.35,0.64,-0.79,16%,17.61,2695.6
Porthidium lansbergii,Porthidium_lansbergii,Viviparous,10.5,1.67,-0.19,14%,24.58,46.50783
Porthidium nasutum,Porthidium_nasutum,Viviparous,12,1.59,0.42,80%,24.33,76.94736
Prasinohaema flavipes,Prasinohaema_flavipes,Viviparous,5,0.83,-0.36,32%,20.04,363.4
Proscelotes eggeli,Proscelotes_eggeli,Viviparous,3,0.55,-0.39,34%,21.9,1607.5
Pseudechis porphyriacus,Pseudechis_porphyriacus,Viviparous,11.6,2.52,0.85,25%,16.61,462.4884
Pseudemoia cryodroma,Pseudemoia_cryodroma,Viviparous,3,0.35,-0.38,56%,10.52,4230.4
Pseudemoia pagenstecheri,Pseudemoia_pagenstecheri,Viviparous,5.85,0.46,-0.79,33%,13.92,4276.5
Pseudemoia rawlinsoni,Pseudemoia_rawlinsoni,Viviparous,5.3,0.45,-1.00,19%,12.67,3929.4
Pseudemoia spenceri,Pseudemoia_spenceri,Viviparous,1.95,0.50,-0.46,21%,12.38,4288.5
Pseudocordylus melanotus,Pseudocordylus_melanotus,Viviparous,3.45,1.49,-0.06,10%,14.86,4043
Pseudocordylus microlepidotus,Pseudocordylus_microlepidotus,Viviparous,4,1.35,0.15,25%,15.6,4127.4
Pseudoferania polylepis,Pseudoferania_polylepis,Viviparous,11.6,2.35,0.54,18%,25.79,220.5068
Psychosaura agmosticha,Psychosaura_agmosticha,Viviparous,3.4665,0.68,-0.11,55%,23.4,1413.5
Psychosaura macrorhyncha,Psychosaura_macrorhyncha,Viviparous,3.3335,0.78,-0.25,31%,21.76,1656.7
Regina grahamii,Regina_grahamii,viviparous,14.9,2.07,0.29,25%,15.68204,842.9741
Regina septemvittata,Regina_septemvittata,Viviparous,11,1.83,0.18,25%,12.25,802.9193
Sceloporus cyanogenys,Sceloporus_cyanogenys,Viviparous,13.15,1.57,0.05,40%,21.6,4782.9
Sceloporus dugesii,Sceloporus_dugesii,Viviparous,4.4,0.93,-0.14,37%,18.21,2416.8
Sceloporus formosus,Sceloporus_formosus,Viviparous,7.115,1.08,0.05,67%,19.51,1548.4
Sceloporus grammicus,Sceloporus_grammicus,Viviparous,4.755,0.69,-0.32,47%,18.53,3624
Sceloporus jarrovii,Sceloporus_jarrovii,Viviparous,6.7,1.11,0.04,57%,16.9,4493
Sceloporus malachiticus,Sceloporus_malachiticus,Viviparous,5.25,1.09,0.02,45%,22.03,843.3
Sceloporus mucronatus,Sceloporus_mucronatus,Viviparous,4.69,1.27,0.00,25%,17.84,1648.9
Sceloporus omiltemanus,Sceloporus_omiltemanus,Viviparous,6.245,1.27,0.04,37%,19.26,1343.3
Sceloporus ornatus,Sceloporus_ornatus,Viviparous,3.3,0.95,-0.68,8%,19.1,4570.8
Sceloporus poinsettii,Sceloporus_poinsettii,Viviparous,10.95,1.47,0.17,56%,17.18,5574.3
Sceloporus torquatus,Sceloporus_torquatus,Viviparous,8.05,1.39,0.03,35%,17.43,2699.5
Scelotes duttoni,Scelotes_duttoni,Viviparous,2.5,0.20,-0.44,57%,24.6,2299.7
Scelotes mirus,Scelotes_mirus,Viviparous,4,0.88,0.08,63%,17.87,3432.4
Scincella reevesii,Scincella_reevesii,Viviparous,4.8,0.34,-0.91,27%,21.63,3379.8
Scincus mitranus,Scincus_mitranus,Viviparous,5,1.33,-0.04,21%,24.65,6498.5
Shinisaurus crocodilurus,Shinisaurus_crocodilurus,Viviparous,6.3,1.79,-0.21,6%,20.63,5904.5
Sinonatrix annularis,Sinonatrix_annularis,viviparous,11,2.05,0.26,18%,18.2849,712.476
Sistrurus catenatus,Sistrurus_catenatus,Viviparous,8,2.29,0.76,23%,9.84,882.1976
Sistrurus miliarius,Sistrurus_miliarius,Viviparous,5.88,1.86,0.36,19%,17.51,678.462
Smaug giganteus,Smaug_giganteus,Viviparous,2.1,2.42,0.63,3%,15.72,4725.4
Smaug warreni,Smaug_warreni,Viviparous,5,1.80,0.48,24%,21.61,2840.4
Sphenomorphus cinereus,Sphenomorphus_cinereus,Viviparous,4,1.17,0.05,31%,17.61,345
Sphenomorphus concinnatus,Sphenomorphus_concinnatus,Viviparous,2,0.59,-0.56,14%,25.77,374.9
Sphenomorphus fragilis,Sphenomorphus_fragilis,Viviparous,2.7,0.24,-1.15,11%,25.04,596.8
Sphenomorphus indicus,Sphenomorphus_indicus,Viviparous,7.27,1.00,-0.53,22%,16.93,5294.5
Sphenomorphus leptofasciatus,Sphenomorphus_leptofasciatus,Viviparous,3.25,0.88,-0.56,12%,18.05,278.3
Sphenomorphus nigriventris,Sphenomorphus_nigriventris,Viviparous,3.7,0.87,-0.31,24%,17.3,343.7
Sphenomorphus praesignis,Sphenomorphus_praesignis,Viviparous,7.25,1.51,0.03,24%,24.85,670.8
Spondylurus powelli,Spondylurus_powelli,Viviparous,3,0.83,-0.14,32%,25.63,1096.8
Storeria dekayi,Storeria_dekayi,Viviparous,13,0.90,-0.30,82%,13.33,784.1197
Storeria occipitomaculata,Storeria_occipitomaculata,Viviparous,8.2,0.61,-1.13,15%,5.28,1070.967
Storeria storerioides,Storeria_storerioides,viviparous,5.4,0.99,-1.02,5%,18.72688,199.0397
Suta fasciata,Suta_fasciata,Viviparous,4.3,1.49,0.21,23%,22.22,580.8262
Suta punctata,Suta_punctata,Viviparous,3.7,1.34,0.21,27%,25.22,463.2575
Suta suta,Suta_suta,Viviparous,4.6,1.50,0.42,38%,22,522.9532
Thamnophis atratus,Thamnophis_atratus,viviparous,8.5,1.83,0.20,20%,12.1635,514.2191
Thamnophis brachystoma,Thamnophis_brachystoma,viviparous,16,1.64,-0.39,15%,8.831477,863.4663
Thamnophis butleri,Thamnophis_butleri,Viviparous,9,1.55,-0.22,15%,8.69,925.6621
Thamnophis cyrtopsis,Thamnophis_cyrtopsis,Viviparous,9.9,2.02,0.24,16%,17.6,484.2779
Thamnophis elegans,Thamnophis_elegans,Viviparous,8.7,1.71,0.25,30%,6.53,810.7182
Thamnophis eques,Thamnophis_eques,Viviparous,12.58,2.01,0.31,25%,16.82,402.2223
Thamnophis marcianus,Thamnophis_marcianus,Viviparous,14.9,1.67,0.11,40%,18.4,643.7218
Thamnophis ordinoides,Thamnophis_ordinoides,Viviparous,9,1.72,-0.09,14%,8.04,497.9149
Thamnophis postremus,Thamnophis_postremus,Viviparous,25,2.08,0.13,28%,24.3,153.5876
Thamnophis proximus,Thamnophis_proximus,Viviparous,19,2.15,0.35,30%,17.35,718.4356
Thamnophis rufipunctatus,Thamnophis_rufipunctatus,Viviparous,12,1.87,0.57,60%,11.78,561.8264
Thamnophis saurita,Thamnophis_sauritus,Viviparous,11,1.73,0.07,24%,12.12,776.9004
Thamnophis sirtalis,Thamnophis_sirtalis,Viviparous,27,1.81,-0.02,40%,6.88,933.9819
Tiliqua adelaidensis,Tiliqua_adelaidensis,Viviparous,3.23,1.27,0.21,28%,15.27,4417.8
Tiliqua gigas,Tiliqua_gigas,Viviparous,8.5,2.70,1.40,43%,25.03,468
Tiliqua multifasciata,Tiliqua_multifasciata,Viviparous,4.2,2.52,0.83,9%,24.17,5127
Tiliqua nigrolutea,Tiliqua_nigrolutea,Viviparous,7,2.81,1.40,27%,12.63,4089.8
Tiliqua occipitalis,Tiliqua_occipitalis,Viviparous,5,2.74,1.37,21%,18.68,5377.1
Tiliqua rugosa,Tiliqua_rugosa,Viviparous,2.05,2.67,1.79,27%,17.91,5155
Tiliqua scincoides,Tiliqua_scincoides,Viviparous,11,2.93,1.17,19%,20.87,4125.8
Tomodon dorsatus,Tomodon_dorsatum,Viviparous,12.5,1.74,0.35,51%,19.44,313.4395
Trachylepis brevicollis,Trachylepis_brevicollis,Viviparous,3,1.50,-0.10,8%,24.54,2340.1
Trachylepis dichroma,Trachylepis_dichroma,Viviparous,3,1.45,0.15,15%,20.9,1014.2
Trachylepis megalura,Trachylepis_megalura,Viviparous,4.8,0.62,-0.61,28%,21.57,977.6
Trachylepis sparsa,Trachylepis_sparsa,Viviparous,5.15,1.08,-0.45,15%,19.33,5507.3
Trachylepis spilogaster,Trachylepis_spilogaster,Viviparous,4.855,0.94,-0.58,15%,19.19,4597.2
Trachylepis striata,Trachylepis_striata,Viviparous,6.7,1.04,-0.45,21%,22.33,1969.3
Trachylepis tavaratra,Trachylepis_tavaratra,Viviparous,5,0.54,-0.73,27%,25.49,1130.8
Trachylepis variegata,Trachylepis_variegata,Viviparous,2.315,0.08,-1.00,20%,17.47,4362.8
Trioceros bitaeniatus,Trioceros_bitaeniatus,Viviparous,13.9,1.17,-0.40,38%,22.28,1021.4
Trioceros conirostratus,Trioceros_conirostratus,Viviparous,12,0.96,-0.39,53%,22.86,1068.7
Trioceros ellioti,Trioceros_ellioti,Viviparous,15,1.25,-0.20,53%,22.09,896.2
Trioceros hoehnelii,Trioceros_hoehnelii,Viviparous,11.7,1.10,-0.18,61%,16.9,1046.4
Trioceros jacksonii,Trioceros_jacksonii,Viviparous,16.95,1.45,-0.10,49%,18.83,964.9
Trogonophis wiegmanni,Trogonophis_wiegmanni,Viviparous,5,0.52,-0.41,59%,15.74,6348.5
Tropidechis carinatus,Tropidechis_carinatus,Viviparous,10.2,2.08,0.49,26%,18.35,375.6095
Tropidoclonion lineatum,Tropidoclonion_lineatum,Viviparous,7.6,1.01,-0.70,15%,13.65,874.2569
Tropidolaemus laticinctus,Tropidolaemus_laticinctus,viviparous,15,2.43,0.04,6%,23.95955,44.6346
Tropidolaemus wagleri,Tropidolaemus_wagleri,viviparous,28,2.43,0.32,21%,25.27078,45.616
Tropidophorus brookei,Tropidophorus_brookei,Viviparous,3.85,1.22,-0.02,22%,24.9,376.5
Tropidophorus cocincinensis,Tropidophorus_cocincinensis,Viviparous,6.5,1.04,-0.45,21%,23.04,2267.9
Tropidophorus davaoensis,Tropidophorus_davaoensis,Viviparous,4.5,1.36,-0.42,8%,25.17,452.2
Tropidophorus grayi,Tropidophorus_grayi,Viviparous,3.8,1.36,-0.37,7%,26.43,713.7
Tropidophorus mocquardii,Tropidophorus_mocquardii,Viviparous,4,1.26,-0.36,10%,24.04,314.1
Tropidophorus murphyi,Tropidophorus_murphyi,Viviparous,4,1.15,-0.45,10%,19.15,4667.5
Tumbunascincus luteilateralis,Tumbunascincus_luteilateralis,Viviparous,4.25,1.11,-0.32,16%,20.2,3067.6
Typhlacontias brevipes,Typhlacontias_brevipes,Viviparous,3,0.49,-0.55,28%,18.01,2106.6
Varzea bistriata,Varzea_bistriata,Viviparous,4.7,1.23,-0.11,22%,25.01,828.4
Virginia valeriae,Virginia_valeriae,Viviparous,6.5,0.73,-0.89,16%,14.88,768.4027
Xantusia riversiana,Xantusia_riversiana,Viviparous,4.4,1.06,-0.21,24%,15.4,1634.6
Xantusia sanchezi,Xantusia_sanchezi,Viviparous,3,0.38,-0.63,29%,18.38,2462.9
Xantusia vigilis,Xantusia_vigilis,Viviparous,1.84,0.16,-0.70,25%,16.36,7280
Xenosaurus agrenon,Xenosaurus_agrenon,Viviparous,2.95,1.40,0.10,15%,18.93,1298.7
Xenosaurus grandis,Xenosaurus_grandis,Viviparous,3.9,1.47,0.07,16%,22.03,2001.7
Xenosaurus mendozai,Xenosaurus_mendozai,Viviparous,2.25,1.41,0.18,13%,21.03,3566.6
Xenosaurus newmanorum,Xenosaurus_newmanorum,Viviparous,2.5,1.37,0.23,18%,22.01,2872.3
Xenosaurus phalaroanthereon,Xenosaurus_phalaroanthereon,Viviparous,2.17,1.56,0.38,14%,19.65,1515.7
Xenosaurus platyceps,Xenosaurus_platyceps,Viviparous,2.345,1.40,0.23,16%,20.3,3452.7
Xenosaurus rackhami,Xenosaurus_rackhami,Viviparous,4.5,1.47,0.07,18%,21.58,1373.6
Xenosaurus rectocollaris,Xenosaurus_rectocollaris,Viviparous,2.62,1.27,0.10,18%,17,1789.1
